Player name ,Nation,Position,Squad,Compition,Age,Born year,Match played,Starts,MIn,90s,Goal,Assist,Goal + Assist,Goal+Penalty kick,Penalty Kick,Penalty Kick Attempted,Yellow Card,Red Card,Expected Goal,Non-penalty Expected Goal,Expected Assisted Goal,Non-penalty Expected Goal + Expected Assisted Goal,Progressive Carries,Progressive Passes,Progressive Passes Receive
Bruno Guimarães,BRA,MF,Newcastle Utd,Premier League,25-132,1997,20,20,"1,667",18.5,3,3,6,3,0,0,4,0,1.4,1.4,1.8,3.3,21,127,20
Sehrou Guirassy,GUI,MF,Rennes,Ligue 1,27-016,1996,1,23,0.3,0.1,0.1,0.1,0.3,6,0,0,,0,,,,,,,
Sehrou Guirassy,GUI,FW,Stuttgart,Bundesliga,27-016,1996,13,12,976,10.8,6,6,5,1,0,0,1,0.47,5.1,3,1,4.3,15,0.8,5.1
Rafik Guitane,FRA,FW,Reims,Ligue 1,23-306,1999,1,3,,,,,,,0,0,,0,0,0,0,0,0,0,0
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,32-326,1990,6,6,540,6,,,,,0,0,,0,0,0,0,0,0,,0
Manuel Gulde,GER,DF,Freiburg,Bundesliga,32-044,1991,10,4,328,3.6,0.1,1,0.1,0.1,0,0,8,0,2,2,,0,,,
Gerard Gumbau,ESP,MF,Elche,La Liga,28-100,1994,24,20,"1,765",19.6,0.9,4,4,9,0,0,0.9,0,11,2.8,3.6,86,0.04,31,0.2
Robert Gumny,POL,DF,Augsburg,Bundesliga,24-297,1998,21,19,"1,686",18.7,1,2,3,1,0,0,4,0,0.5,0.5,0.6,1.1,21,47,48
Ilkay Gündogan,GER,MF,Manchester City,Premier League,32-155,1990,24,20,"1,756",19.5,3,3,6,3,0,0,5.2,0,5.2,2.6,7.8,126,41,108,0.15
Christian Günter,GER,"DF,MF",Freiburg,Bundesliga,30-028,1993,24,24,"2,125",23.6,0.9,3,3,5,0,0,0.9,0,35,4.4,5.3,59,0.04,95,0.13
Koray Günter,GER,DF,Hellas Verona,Serie A,28-224,1994,13,11,"1,003",11.1,1,1,1,3,0,0,0.9,0,0.9,0.9,1.9,36,7,3,0.09
Koray Günter,GER,"DF,MF",Sampdoria,Serie A,28-224,1994,3,2,236,2.6,2,0.1,0.1,8,0,0,,0,0,,,0,,,
Gorka Guruzeta,ESP,FW,Athletic Club,La Liga,26-197,1996,19,8,744,8.3,6,6,6,1,0,0,3.4,0,3.4,0.3,3.7,14,4,51,
