Playername,Nation,Position,Squad,League,Age,BirthYear,MatchesPlayed,Starts,MinutesPlayed,Per90,Goal,Assist,GoalnAssist,GoalnPenaltyKick,ExpectedGoal,NonPenaltyExpectedGoal,ExpectedAssistedGoal,Carries,Passes,PassesReceived
Saa Lukic,SRB,Midfielder,Fulham,Premier League,26,1996,4,2,210,2.3,3,1.0,8.0,4.0,0.0,0,0,0,0,0
Saa Lukic,SRB,Midfielder,Torino,Serie A,26,1996,16,13,"1,195",13.3,2,2.0,1.0,1.0,1.7,4.0,0.9,26.0,2.3,44.0
Andriy Lunin,UKR,Goalkeeper,Real Madrid,La Liga,24,1999,6,6,540,6.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Andrey Lunyov,RUS,Goalkeeper,Leverkusen,Bundesliga,31,1991,1,1,90,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Sebastiano Luperto,ITA,Defender,Empoli,Serie A,26,1996,25,25,"2,164",24.0,1,1.0,1.0,4.0,0.7,0.7,0.6,11.0,56.0,3.0
Lyanco,BRA,Defender,Southampton,Premier League,26,1997,14,7,698,7.8,0,4.0,0.3,0.1,5.0,20.0,2.0,0,0,0
Charalambos Lykogiannis,GRE,Defender,Bologna,Serie A,29,1993,18,11,"1,054",11.7,2,2.0,2.0,3.0,0.7,1.3,2.1,29.0,41.0,0.17
Youssouf M'Changama,COM,Midfielder,Auxerre,Ligue 1,32,1990,20,6,648,7.2,0,0.3,0.8,1.1,15.0,26.0,0,0,0,0
Awer Mabil,AUS,"Midfielder, FORWARD",Cádiz,La Liga,27,1995,5,1,165,1.8,0,0.2,0.2,4.0,5.0,0,0,0,0,0
Alexis Mac Allister,ARG,Midfielder,Brighton,Premier League,24,1998,22,21,"1,904",21.2,7,1.0,8.0,3.0,7.8,4.0,6.0,36.0,2.2,6.9
Deiver Machado,COL,"Defender,Midfielder",Lens,Ligue 1,29,1993,25,19,"1,687",18.7,3,1.0,4.0,3.0,1.0,1.0,1.0,44.0,2.4,45.0
Darwin Machís,VEN,Forward,Valladolid,La Liga,30,1993,6,4,366,4.1,0,1.0,1.0,1.0,18.0,1.9,2.8,0,30.0,0
James Maddison,ENG,"Midfielder, FORWARD",Leicester City,Premier League,26,1996,20,19,"1,631",18.1,9,6.0,15.0,9.0,4.2,4.2,6.2,47.0,109.0,104.0
Noni Madueke,ENG,Forward,Chelsea,Premier League,21,2002,4,2,182,2.0,0,0.1,0.2,0.3,6.0,23.0,0,0,0,0
Pablo Maffeo,ESP,Defender,Mallorca,La Liga,25,1997,24,23,"1,990",22.1,1,3.0,4.0,1.0,0.9,1.0,0.9,53.0,2.9,44.0
Lisandro Magallán,ARG,Defender,Elche,La Liga,29,1993,7,5,404,4.5,0,1.0,0.1,0.1,0.0,0,0,0.0,0,0
Soungoutou Magassa,MLI,Midfielder,Monaco,Ligue 1,19,2003,1,74,0.8,2.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0,0
Giulio Maggiore,ITA,Midfielder,Salernitana,Serie A,25,1998,12,9,724,8.0,0,2.0,0.4,0.5,5.0,49.0,10.0,0,0,0
Giangiacomo Magnani,ITA,Defender,Hellas Verona,Serie A,27,1995,15,10,806,9.0,0,4.0,1.0,0.3,1.0,0.4,15.0,0,0,0
Hugo Magnetti,FRA,Midfielder,Brest,Ligue 1,24,1998,24,15,"1,377",15.3,0,2.0,2.0,0.6,26.0,1.2,61.0,0.04,0.13,0.13
Yohann Magnin,FRA,Midfielder,Clermont Foot,Ligue 1,25,1997,28,22,"2,042",22.7,0,5.0,0.9,1.0,12.0,104.0,54.0,0.04,0.08,0.04
Harry Maguire,ENG,Defender,Manchester Utd,Premier League,30,1993,11,5,482,5.4,0,3.0,0.3,0.4,5.0,2.0,0,0,0,0
Jon Magunacelaya,ESP,"Midfielder, FORWARD",Real Sociedad,La Liga,22,2000,2,65,0.7,0.4,2,0.4,3.0,0,0.0,0,0,0,0,0
Riyad Mahrez,ALG,"Forward,Midfielder",Manchester City,Premier League,32,1991,19,12,"1,061",11.8,5,4.0,9.0,4.0,4.6,1.0,2.0,39.0,3.3,7.2
Arne Maier,GER,Midfielder,Augsburg,Bundesliga,24,1999,21,16,"1,348",15.0,3,3.0,3.0,1.0,1.1,1.0,2.1,22.0,55.0,0.2
Mike Maignan,FRA,Goalkeeper,Milan,Serie A,27,1995,11,11,990,11.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linton Maina,GER,"Forward,Midfielder",Köln,Bundesliga,23,1999,24,18,"1,531",17.0,2,5.0,7.0,2.0,3.5,4.1,7.6,54.0,121.0,0.29
Kobbie Mainoo,ENG,Midfielder,Manchester Utd,Premier League,17,2005,1,11,0.1,1.0,2,1.0,0,0,0.0,0.0,0.0,0,0,0
Ainsley Maitland-Niles,ENG,"Defender,Midfielder",Southampton,Premier League,25,1997,15,9,960,10.7,10,3.0,0.6,0.6,0.0,10.0,0.05,0.0,0.06,0.0
Jordan Majchrzak,POL,Forward,Roma,Serie A,18,2004,1,14,0.2,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Lovro Majer,CRO,"Midfielder, FORWARD",Rennes,Ligue 1,25,1998,22,12,"1,065",11.8,1,3.0,4.0,1.0,2.2,2.0,1.4,37.0,4.4,86.0
Jean-Victor Makengo,FRA,Midfielder,Udinese,Serie A,24,1998,16,11,805,8.9,0,1.0,1.0,2.0,18.0,0.5,0.8,0,31.0,0
Jean-Victor Makengo,FRA,Midfielder,Lorient,Ligue 1,24,1998,8,7,610,6.8,0,0.1,0.5,0.6,14.0,26.0,0,0,0,0
Béni Makouana,CGO,"Forward,Midfielder",Montpellier,Ligue 1,20,2002,8,1,198,2.2,0,1.0,0.8,0.8,9.0,17.0,0,0,0,0
Nemanja Maksimovic,SRB,Midfielder,Getafe,La Liga,28,1995,17,14,"1,078",12.0,0,1.0,0.5,0.3,6.0,20.0,17.0,0.04,0.07,0.04
Tyrell Malacia,NED,Defender,Manchester Utd,Premier League,23,1999,15,10,920,10.2,0,3.0,0.2,0.1,14.0,28.0,20.0,0.02,0.03,0.02
Lorenzo Malagrida,ITA,"Defender,Midfielder",Sampdoria,Serie A,19,2003,3,49,0.5,2.0,0,0.1,0.1,3.0,0.0,0,0,0,0,0
Daniel Maldini,ITA,"Forward,Midfielder",Spezia,Serie A,21,2001,14,2,460,5.1,2,2.0,2.0,1.0,1.0,1.1,8.0,9.0,0,0
Youssef Maleh,ITA,Midfielder,Fiorentina,Serie A,24,1998,7,4,297,3.3,0,2.0,0.6,0.6,3.0,11.0,17.0,0,0,0
Youssef Maleh,ITA,Midfielder,Lecce,Serie A,24,1998,10,5,441,4.9,0,3.0,0.2,0.1,6.0,10.0,14.0,0,0,0
Donyell Malen,NED,Forward,Dortmund,Bundesliga,24,1999,17,14,"1,063",11.8,2,3.0,5.0,2.0,3.7,2.8,6.4,50.0,106.0,0.25
Ruslan Malinovskyi,UKR,"Midfielder, FORWARD",Atalanta,Serie A,29,1993,15,5,553,6.1,1,2.0,3.0,1.0,0.6,0.6,2.0,19.0,50.0,36.0
Ruslan Malinovskyi,UKR,"Midfielder, FORWARD",Marseille,Ligue 1,29,1993,11,7,678,7.5,1,1.0,1.0,3.0,1.4,1.5,2.9,17.0,39.0,0
Hugo Mallo,ESP,Defender,Celta Vigo,La Liga,31,1991,18,18,"1,473",16.4,0,4.0,0.9,1.1,23.0,45.0,76.0,0.05,0.12,0.05
Mickael Malsa,MTQ,Midfielder,Valladolid,La Liga,27,1995,5,69,0.8,5.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Giorgi Mamardashvili,GEO,Goalkeeper,Valencia,La Liga,22,2000,26,26,"2,340",26.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hianga Mananga Mbock,FRA,Midfielder,Brest,Ligue 1,23,1999,2,15,0.2,1.0,2,0,0,0,0.0,0.0,0.0,0,0,0.0
Gianluca Mancini,ITA,Defender,Roma,Serie A,26,1996,26,26,"2,181",24.2,1,2.0,3.0,1.0,1.7,1.7,1.3,13.0,64.0,11.0
Steve Mandanda,FRA,Goalkeeper,Rennes,Ligue 1,38,1985,26,26,"2,295",25.5,0,1.0,1.0,1.0,0.0,0.1,0.04,0.0,0.04,0.0
Reinildo Mandava,MOZ,Defender,Atlético Madrid,La Liga,29,1994,22,22,"1,857",20.6,0,4.0,0.4,0.5,28.0,70.0,41.0,0.02,0.04,0.02
Aïssa Mandi,ALG,Defender,Villarreal,La Liga,31,1991,10,5,486,5.4,0,0.1,0.1,17.0,5.0,0,0,0,0,0
Rolando Mandragora,ITA,Midfielder,Fiorentina,Serie A,25,1997,20,15,"1,353",15.0,2,3.0,5.0,2.0,1.2,1.2,3.7,14.0,101.0,44.0
Sadio Mané,SEN,Forward,Bayern Munich,Bundesliga,30,1992,18,14,"1,076",12.0,6,4.0,10.0,5.0,6.7,2.0,1.0,49.0,2.7,7.8
Orel Mangala,BEL,Midfielder,Nott'ham Forest,Premier League,25,1998,16,11,757,8.4,0,1.0,0.3,0.1,10.0,28.0,6.0,0,0,0
Thomas Mangani,FRA,Midfielder,Ajaccio,Ligue 1,35,1987,18,9,895,9.9,1,1.0,2.0,1.0,1.9,3.0,0.3,9.0,1.9,72.0
Vito Mannone,ITA,Goalkeeper,Lorient,Ligue 1,35,1988,15,14,"1,338",14.9,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javier Manquillo,ESP,Defender,Newcastle Utd,Premier League,28,1994,1,11,0.1,1.0,2,1.0,0,0,0.0,0.0,0.0,0,0,0
Myziane Maolida,FRA,"Forward,Midfielder",Reims,Ligue 1,24,1999,6,2,160,1.8,1,1.0,1.0,0.2,0.2,3.0,20.0,8.0,0,0
Myziane Maolida,FRA,"Forward,Midfielder",Hertha BSC,Bundesliga,24,1999,3,1,95,1.1,1,0.2,0.2,9.0,0.0,0,0,0,0,0
Faitout Maouassa,FRA,"Forward, Defender",Montpellier,Ligue 1,24,1998,25,19,"1,553",17.3,3,5.0,8.0,3.0,1.9,2.1,4.0,34.0,84.0,0.29
Sekou Mara,FRA,"Forward,Midfielder",Southampton,Premier League,20,2002,19,3,451,5.0,0,2.0,2.0,1.0,7.0,0.8,1.6,0,25.0,0
Maranhão,BRA,"Forward,Midfielder",Valencia,La Liga,26,1996,16,3,436,4.8,1,1.0,1.0,2.0,1.5,1.3,0.4,2.0,6.0,18.0
Marcão,BRA,Defender,Sevilla,La Liga,26,1996,4,4,360,4.0,1,2.0,13.0,0,0.0,0.0,0.0,0,0,0
Solly March,ENG,"Forward, Defender",Brighton,Premier League,28,1994,25,25,"2,150",23.9,7,4.0,11.0,7.0,6.5,6.5,5.1,83.0,109.0,284.0
Agustín Marchesín,ARG,Goalkeeper,Celta Vigo,La Liga,35,1988,19,19,"1,710",19.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Marchetti,ITA,Goalkeeper,Spezia,Serie A,40,1983,1,66,0.7,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Vincent Marchetti,FRA,Midfielder,Ajaccio,Ligue 1,25,1997,23,22,"1,835",20.4,1,1.0,1.0,5.0,49.0,1.1,2.7,0.08,47.0,0.05
Riccardo Marchizza,ITA,Defender,Sassuolo,Serie A,25,1998,7,2,181,2.0,1,1.0,1.0,0.2,0.0,7.0,10.0,0,0,0
Gian Marco Ferrari,ITA,Defender,Sassuolo,Serie A,31,1992,23,19,"1,714",19.0,1,1.0,1.0,5.0,1.1,1.1,64.0,10.0,0.05,0.05
Emiliano Marcondes,DEN,Midfielder,Bournemouth,Premier League,28,1995,1,9,0.1,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Óscar de Marcos,ESP,Defender,Athletic Club,La Liga,33,1989,26,23,"1,974",21.9,0,5.0,5.0,4.0,50.0,3.0,3.2,0.01,98.0,0.23
José Mari,ESP,Midfielder,Cádiz,La Liga,35,1987,13,2,325,3.6,4,2.0,0.3,0.4,0.0,1.0,0,0,0,0
Pablo Marí,ESP,Defender,Monza,Serie A,29,1993,20,18,"1,672",18.6,1,1.0,1.0,3.0,0.5,0.6,42.0,4.0,0.05,0.05
José María Giménez,URU,Defender,Atlético Madrid,La Liga,28,1995,17,15,"1,433",15.9,1,1.0,1.0,7.0,1.3,0.1,1.5,6.0,3.0,0.06
Mariano,DOM,Forward,Real Madrid,La Liga,29,1993,6,57,0.6,2.0,0,0.4,0.4,0.9,2.0,7.0,0,0,0,0
Pablo Marín,ESP,Midfielder,Real Sociedad,La Liga,19,2003,9,3,342,3.8,1,1.0,1.1,0.8,8.0,15.0,23.0,0,0,0
Razvan Marin,ROU,Midfielder,Empoli,Serie A,26,1996,25,20,"1,844",20.5,2,2.0,4.0,2.0,1.1,1.1,2.1,27.0,81.0,18.0
Diego Mariño,ESP,Goalkeeper,Almería,La Liga,32,1990,1,45,0.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Guillermo Maripán,CHI,Defender,Monaco,Ligue 1,28,1994,19,18,"1,575",17.5,3,3.0,3.0,3.0,1.4,1.4,0.1,3.0,44.0,0.17
Marlon,BRA,Defender,Monza,Serie A,27,1995,19,15,"1,215",13.5,0,5.0,0.1,0.3,14.0,47.0,10.0,0.01,0.03,0.01
Omar Marmoush,EGY,Forward,Wolfsburg,Bundesliga,24,1999,24,12,"1,177",13.1,5,1.0,6.0,5.0,4.7,4.7,0.9,30.0,45.0,123.0
Marquinhos,BRA,Midfielder,Arsenal,Premier League,19,2003,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Marquinhos,BRA,Defender,Paris S-G,Ligue 1,28,1994,24,22,"1,990",22.1,2,2.0,2.0,2.0,1.7,0.4,2.1,4.0,9.0,0.09
Luca Marrone,ITA,Defender,Monza,Serie A,33,1990,2,2,135,1.5,0,0.1,0.1,4.0,0.0,0,0,0,0,0
Eric Martel,GER,Midfielder,Köln,Bundesliga,20,2002,21,15,"1,354",15.0,0,3.0,0.8,0.4,9.0,39.0,28.0,0.05,0.08,0.05
Roger Martí,ESP,Forward,Elche,La Liga,32,1991,12,8,655,7.3,0,1.0,1.0,2.0,8.0,0.7,1.2,0,50.0,0
Roger Martí,ESP,Forward,Cádiz,La Liga,32,1991,8,7,507,5.6,1,1.0,1.0,1.0,0.9,0.3,1.2,5.0,17.0,0
Anthony Martial,FRA,Forward,Manchester Utd,Premier League,27,1995,9,6,458,5.1,3,2.0,5.0,2.0,3.2,1.0,2.4,7.0,3.3,15.0
Aarón Martín,ESP,Defender,Mainz 05,Bundesliga,25,1997,20,17,"1,489",16.5,3,3.0,6.0,3.0,2.0,1.0,1.2,21.0,3.7,74.0
Ander Martin,ESP,"Midfielder, FORWARD",Real Sociedad,La Liga,22,2000,3,41,0.5,0.1,1,0.1,3.0,0,0.0,0,0,0,0,0
Andrés Martín,ESP,"Forward,Midfielder",Rayo Vallecano,La Liga,23,1999,5,2,145,1.6,0,1.0,0.4,0.5,3.0,3.0,18.0,0,0,0
Carlos Martín,ESP,Defender,Atlético Madrid,La Liga,20,2002,1,5,0.1,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Iván Martín,ESP,Midfielder,Girona,La Liga,24,1999,13,7,696,7.7,3,1.0,4.0,3.0,1.6,1.1,2.7,9.0,47.0,0
Jonas Martin,FRA,Midfielder,Lille,Ligue 1,32,1990,9,1,191,2.1,0,2.0,0.1,0.1,3.0,1.0,0,0,0,0
Martinelli,BRA,Forward,Arsenal,Premier League,21,2001,28,27,"2,252",25.0,13,2.0,15.0,13.0,7.9,7.9,5.5,100.0,81.0,288.0
Arnau Martinez,ESP,Defender,Girona,La Liga,19,2003,22,21,"1,756",19.5,2,2.0,4.0,2.0,1.5,1.5,2.3,43.0,71.0,74.0
Emiliano Martínez,ARG,Goalkeeper,Aston Villa,Premier League,30,1992,25,25,"2,194",24.4,0,5.0,0.3,0.3,0.0,0.01,0.01,0.0,0.0,0.0
Iñigo Martínez,ESP,Defender,Athletic Club,La Liga,31,1991,12,12,"1,080",12.0,1,1.0,1.0,1.0,0.8,0.3,1.1,7.0,4.0,0.08
Lautaro Martínez,ARG,Forward,Inter,Serie A,25,1997,27,24,"2,130",23.7,14,3.0,17.0,13.0,12.9,2.0,2.0,38.0,3.7,15.0
Lisandro Martínez,ARG,Defender,Manchester Utd,Premier League,25,1998,24,21,"1,852",20.6,1,1.0,1.0,6.0,0.4,0.3,0.7,11.0,1.0,0.05
Lucas Martínez Quarta,ARG,Defender,Fiorentina,Serie A,26,1996,19,17,"1,541",17.1,1,1.0,2.0,1.0,2.2,2.2,0.4,16.0,81.0,5.0
Roger Martínez,ESP,Defender,Espanyol,La Liga,18,2004,1,7,0.1,1.0,0,0,0,0,0.0,0,0,0.0,0,0.0
Gelson Martins,POR,"Midfielder, FORWARD",Monaco,Ligue 1,27,1995,11,3,345,3.8,0,0.8,0.3,1.1,15.0,47.0,0,0,0,0
Adam Maruic,MNE,Defender,Lazio,Serie A,30,1992,26,25,"2,277",25.3,0,2.0,2.0,5.0,36.0,0.7,1.1,0.03,97.0,38.0
Omar Mascarell,ESP,Midfielder,Elche,La Liga,30,1993,23,23,"1,997",22.2,0,6.0,0.4,0.8,20.0,94.0,5.0,0.02,0.06,0.02
Adam Masina,MAR,Defender,Udinese,Serie A,29,1994,7,5,480,5.3,1,1.0,1.0,1.0,3.0,0.1,14.0,0,0,0
Jordi Masip,ESP,Goalkeeper,Valladolid,La Liga,34,1989,17,17,"1,517",16.9,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erhan Maovic,SRB,Defender,Bochum,Bundesliga,24,1998,20,14,"1,399",15.5,4,4.0,4.0,2.0,2.0,0.5,2.4,3.0,2.0,0.26
Han-Noah Massengo,FRA,Midfielder,Auxerre,Ligue 1,21,2001,8,7,617,6.9,0,2.0,0.3,0.4,12.0,19.0,19.0,0,0,0
Yanis Massolin,FRA,Midfielder,Clermont Foot,Ligue 1,20,2002,6,60,0.7,4.0,0,0,0,0,0.0,0,0,0.0,0,0.0
Jaime Mata,ESP,"Forward,Midfielder",Getafe,La Liga,34,1988,10,54,0.6,1.0,0,1.0,3.0,0.1,0.0,0.6,2.0,0,0,0
Pape Matar Sarr,SEN,Midfielder,Tottenham,Premier League,20,2002,7,1,144,1.6,0,1.0,0.1,0.1,1.0,0,0,0,0,0
Eliot Matazo,BEL,Midfielder,Monaco,Ligue 1,21,2002,14,9,806,9.0,0,2.0,0.1,0.1,3.0,41.0,6.0,0,0,0
Jean-Philippe Mateta,FRA,Forward,Crystal Palace,Premier League,25,1997,22,6,696,7.7,1,1.0,1.0,2.0,2.5,0.6,3.1,6.0,35.0,0
Nemanja Matic,SRB,Midfielder,Roma,Serie A,34,1988,26,13,"1,420",15.8,1,1.0,2.0,1.0,0.7,0.7,1.6,36.0,101.0,13.0
Joël Matip,CMR,Defender,Liverpool,Premier League,31,1991,11,9,822,9.1,0,2.0,0.1,0.3,24.0,44.0,1.0,0.01,0.04,0.01
Henning Matriciani,GER,Defender,Schalke 04,Bundesliga,23,2000,14,14,"1,208",13.4,0,0.1,0.1,0.2,11.0,3.0,0.01,0.01,0.01,0.01
Chrislain Matsima,FRA,"Defender,Midfielder",Lorient,Ligue 1,20,2002,6,2,227,2.5,0,0.1,0.1,1.0,0.0,0,0,0,0,0
Chrislain Matsima,FRA,Defender,Monaco,Ligue 1,20,2002,2,2,127,1.4,2,1.0,1.0,0.4,0.0,16.0,9.0,0,0,0
Jean Mattéo Bahoya,FRA,"Forward,Midfielder",Angers,Ligue 1,17,2005,3,31,0.3,0.3,0,0.1,0.4,1.0,1.0,0,0,0,0,0
Azor Matusiwa,NED,Midfielder,Reims,Ligue 1,24,1998,22,21,"1,804",20.0,0,3.0,0.3,0.7,9.0,148.0,10.0,0.01,0.05,0.01
Neal Maupay,FRA,Forward,Everton,Premier League,26,1996,20,10,947,10.5,1,1.0,1.0,3.0,3.8,0.5,4.3,7.0,52.0,0.1
Aïman Maurer,MAR,Midfielder,Clermont Foot,Ligue 1,18,2004,6,5,398,4.4,0,0.4,0.5,1.0,16.0,31.0,0,0,0,0
Stephy Mavididi,ENG,Forward,Montpellier,Ligue 1,24,1998,16,12,943,10.5,2,1.0,3.0,2.0,2.6,1.0,2.6,20.0,3.3,14.0
Konstantinos Mavropanos,GRE,Defender,Stuttgart,Bundesliga,25,1997,22,21,"1,868",20.8,2,1.0,3.0,2.0,3.6,3.6,1.0,25.0,89.0,10.0
Christian Mawissa,FRA,Defender,Toulouse,Ligue 1,17,2005,2,1,98,1.1,1,1.0,6.0,1.0,0.0,0.0,0.0,0,0,0
Philipp Max,GER,Defender,Eint Frankfurt,Bundesliga,29,1993,7,6,469,5.2,0,1.0,0.3,0.7,8.0,21.0,35.0,0,0,0
Eric Maxim Choupo-Moting,CMR,Forward,Bayern Munich,Bundesliga,34,1989,17,13,"1,024",11.4,10,2.0,12.0,10.0,5.5,4.7,1.7,9.0,41.0,74.0
Luís Maximiano,POR,Goalkeeper,Lazio,Serie A,24,1999,1,1,5,0.1,0,1.0,0,0,0.0,0.0,0.0,0.0,0,0
Fernand Mayembo,CGO,Defender,Ajaccio,Ligue 1,27,1996,9,6,572,6.4,1,1.0,1.2,0.1,2.0,9.0,0,0,0,0
Borja Mayoral,ESP,Forward,Getafe,La Liga,25,1997,26,26,"2,122",23.6,6,2.0,8.0,6.0,6.2,4.0,4.7,46.0,6.9,43.0
Noussair Mazraoui,MAR,Defender,Bayern Munich,Bundesliga,25,1997,12,6,569,6.3,0,3.0,3.0,0.3,14.0,1.1,43.0,0,0,0
Pasquale Mazzocchi,ITA,Defender,Salernitana,Serie A,27,1995,19,17,"1,421",15.8,2,2.0,4.0,2.0,1.1,1.1,2.3,53.0,46.0,81.0
Kevin Mbabu,SUI,"Defender, Forward",Fulham,Premier League,27,1995,6,1,144,1.6,4,1.0,1.0,1.0,0.0,0.4,8.0,0,0,0
Kylian Mbappé,FRA,Forward,Paris S-G,Ligue 1,24,1998,24,22,"1,918",21.3,19,3.0,22.0,17.0,17.4,4.0,5.0,124.0,5.6,19.7
Mamadou Mbaye,SEN,Defender,Cádiz,La Liga,24,1998,8,6,559,6.2,0,1.0,0.1,0.1,1.0,10.0,0,0,0,0
Chancel Mbemba,COD,Defender,Marseille,Ligue 1,28,1994,27,26,"2,285",25.4,4,4.0,4.0,2.0,2.7,0.1,2.8,36.0,31.0,0.16
Bryan Mbeumo,CMR,Forward,Brentford,Premier League,23,1999,27,27,"2,092",23.2,5,3.0,8.0,4.0,6.8,1.0,4.0,43.0,4.0,10.0
Jason Mbock,FRA,"Midfielder, FORWARD",Angers,Ligue 1,23,1999,2,25,0.3,0.3,0,0.3,1.0,2.0,0.0,0,0,0.0,0,0
Nathanael Mbuku,FRA,"Forward,Midfielder",Reims,Ligue 1,21,2002,6,66,0.7,0.1,0,0.1,3.0,6.0,4.0,0,0,0,0,0
Nathanael Mbuku,FRA,Forward,Augsburg,Bundesliga,21,2002,1,14,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
James McArthur,SCO,Midfielder,Crystal Palace,Premier League,35,1987,1,10,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
John McGinn,SCO,Midfielder,Aston Villa,Premier League,28,1994,23,19,"1,703",18.9,1,2.0,2.0,5.0,17.0,1.7,3.4,0.09,44.0,0.11
Scott McKenna,SCO,Defender,Nott'ham Forest,Premier League,26,1996,18,17,"1,462",16.2,0,4.0,0.1,0.8,5.0,33.0,1.0,0.0,0.05,0.05
Weston McKennie,USA,Midfielder,Leeds United,Premier League,24,1998,8,6,580,6.4,0,4.0,0.4,0.2,8.0,38.0,14.0,0,0,0
Weston McKennie,USA,"Midfielder, Defender",Juventus,Serie A,24,1998,15,13,"1,052",11.7,1,1.0,2.0,1.0,0.9,0.7,1.6,19.0,54.0,0.09
Dwight McNeil,ENG,"Forward,Midfielder",Everton,Premier League,23,1999,26,18,"1,598",17.8,3,2.0,5.0,3.0,1.3,1.3,3.5,47.0,44.0,89.0
Scott McTominay,SCO,Midfielder,Manchester Utd,Premier League,26,1996,18,7,865,9.6,0,6.0,0.8,0.2,9.0,24.0,16.0,0.08,0.11,0.08
Gary Medel,CHI,"Midfielder, Defender",Bologna,Serie A,35,1987,21,16,"1,324",14.7,0,1.0,1.0,5.0,1.0,0.3,0.4,0.0,5.0,0.07
Facundo Medina,ARG,Defender,Lens,Ligue 1,23,1999,23,23,"1,970",21.9,1,3.0,4.0,1.0,2.0,2.0,0.8,63.0,188.0,28.0
Ben Mee,ENG,Defender,Brentford,Premier League,33,1989,26,26,"2,288",25.4,3,3.0,3.0,2.0,1.8,0.2,2.0,3.0,11.0,0.12
Bamo Meïté,CIV,Defender,Lorient,Ligue 1,21,2001,9,8,789,8.8,1,1.0,1.0,2.0,0.7,0.7,20.0,6.0,0,0
Soualiho Meïté,FRA,Midfielder,Cremonese,Serie A,29,1994,20,17,"1,387",15.4,0,1.0,1.0,5.0,15.0,0.3,0.6,0.02,16.0,0.06
Farid El Melali,ALG,"Defender, Forward",Angers,Ligue 1,25,1997,13,7,615,6.8,1,1.0,1.1,0.1,37.0,14.0,49.0,0,0,0
Gonzalo Melero,ESP,Midfielder,Almería,La Liga,29,1994,16,14,"1,129",12.5,3,3.0,6.0,2.0,2.4,1.0,3.0,16.0,1.4,3.0
Birger Meling,NOR,Defender,Rennes,Ligue 1,28,1994,20,5,742,8.2,30,2.0,1.0,0.3,0.0,58.0,42.0,0,0,0
Memphis,NED,Forward,Barcelona,La Liga,29,1994,2,2,114,1.3,1,1.0,1.0,0.9,0.9,1.0,7.0,2.0,0,0
Memphis,NED,Forward,Atlético Madrid,La Liga,29,1994,7,3,258,2.9,3,3.0,3.0,1.0,2.7,0.5,3.2,3.0,22.0,0
Houboulang Mendes,FRA,Defender,Almería,La Liga,24,1998,12,9,739,8.2,13,1.0,1.0,1.0,0.0,0.3,14.0,0,0,0
Nuno Mendes,POR,"Defender,Midfielder",Paris S-G,Ligue 1,20,2002,19,15,"1,271",14.1,1,4.0,5.0,1.0,1.0,1.0,2.4,42.0,64.0,169.0
Thiago Mendes,BRA,"Midfielder, Defender",Lyon,Ligue 1,31,1992,23,18,"1,613",17.9,1,1.0,2.0,1.0,0.6,0.6,0.6,5.0,140.0,12.0
Brais Méndez,ESP,Midfielder,Real Sociedad,La Liga,26,1997,25,23,"1,915",21.3,7,3.0,10.0,7.0,4.5,4.5,2.4,32.0,105.0,110.0
Diego Méndez,ESP,Midfielder,Rayo Vallecano,La Liga,19,2003,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Mendy,FRA,Defender,Nice,Ligue 1,18,2004,6,2,170,1.9,0,1.0,1.0,0.2,0.0,8.0,14.0,0,0,0
Arial Mendy,SEN,Defender,Clermont Foot,Ligue 1,28,1994,5,1,223,2.5,6,0.1,0.1,7.0,0.0,0,0,0,0,0
Batista Mendy,FRA,"Midfielder, Defender",Angers,Ligue 1,23,2000,25,25,"2,053",22.8,0,8.0,1.0,0.6,19.0,1.5,143.0,0.03,0.04,0.07
Edouard Mendy,SEN,Goalkeeper,Chelsea,Premier League,31,1992,9,8,765,8.5,0,1.0,0,0,0.0,0.0,0.0,0.0,0,0
Ferland Mendy,FRA,Defender,Real Madrid,La Liga,27,1995,15,14,"1,156",12.8,0,1.0,1.0,2.0,22.0,0.6,0.9,0.02,60.0,0.08
Nampalys Mendy,SEN,Midfielder,Leicester City,Premier League,30,1992,14,6,610,6.8,1,1.0,1.0,1.0,0.1,0.2,25.0,2.0,0,0
