Playername,Nation,Position,Squad,League,Age,BirthYear,MatchesPlayed,Starts,MinutesPlayed,Per90,Goal,Assist,GoalnAssist,GoalnPenaltyKick,ExpectedGoal,NonPenaltyExpectedGoal,ExpectedAssistedGoal,Carries,Passes,PassesReceived
Kepa Arrizabalaga,ESP,Goalkeeper,Chelsea,Premier League,28,1994,19,19,"1,665",18.5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Arroyo,ESP,Midfielder,Valladolid,La Liga,19,2003,1,15,0.2,4.0,1,0,0,0,0.0,0.0,0.0,0,0,0.0
Tolgay Arslan,GER,Midfielder,Udinese,Serie A,32,1990,26,11,928,10.3,1,1.0,1.0,1.0,1.6,1.1,2.7,35.0,32.0,0.1
Ricard Artero,ESP,Forward,Girona,La Liga,20,2003,1,8,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Arthur,BRA,Forward,Fiorentina,Serie A,24,1998,22,9,928,10.3,6,1.0,7.0,5.0,5.4,1.0,2.0,8.0,0.7,5.2
Santiago Arzamendia,PAR,"Defender,Midfielder",Cádiz,La Liga,24,1998,9,4,389,4.3,0,0.2,0.5,0.7,7.0,17.0,0,0,0,0
Takuma Asano,JPN,"Forward,Midfielder",Bochum,Bundesliga,28,1994,16,13,"1,005",11.2,1,2.0,3.0,1.0,2.6,2.6,1.0,17.0,19.0,69.0
Santiago Ascacíbar,ARG,Midfielder,Cremonese,Serie A,26,1997,13,7,727,8.1,0,1.0,0.4,0.4,1.0,41.0,6.0,0,0,0
Sergio Asenjo,ESP,Goalkeeper,Valladolid,La Liga,33,1989,9,9,810,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Asensio,ESP,"Forward,Midfielder",Real Madrid,La Liga,27,1996,20,7,701,7.8,5,3.0,8.0,5.0,4.2,1.0,3.4,22.0,5.6,31.0
Kristoffer Askildsen,NOR,Midfielder,Lecce,Serie A,22,2001,18,6,622,6.9,0,3.0,0.4,0.3,9.0,21.0,16.0,0,0,0
Fisnik Asllani,KVX,Forward,Hoffenheim,Bundesliga,20,2002,7,143,1.6,1.5,1,0.2,1.7,18.0,4.0,0,0,0,0,0
Kristjan Asllani,ALB,Midfielder,Inter,Serie A,21,2002,12,2,294,3.3,0,2.0,0.2,0.3,2.0,10.0,2.0,0,0,0
Iago Aspas,ESP,Forward,Celta Vigo,La Liga,35,1987,26,24,"2,194",24.4,12,3.0,15.0,10.0,9.3,3.0,4.0,64.0,4.5,11.5
Lorenz Assignon,TOG,Defender,Rennes,Ligue 1,22,2000,6,2,194,2.2,0,1.0,1.0,2.0,4.0,0.3,0.6,0,8.0,0
Youcef Atal,ALG,"Defender,Midfielder",Nice,Ligue 1,26,1996,13,7,637,7.1,1,1.0,1.0,1.0,0.9,1.2,2.0,30.0,45.0,0
Valentin Atangana Edoa,FRA,Midfielder,Reims,Ligue 1,17,2005,1,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,GAB,Forward,Chelsea,Premier League,33,1989,12,4,441,4.9,1,1.0,1.0,1.0,0.7,0.3,1.0,7.0,22.0,0
Pierre-Emerick Aubameyang,GAB,Forward,Barcelona,La Liga,33,1989,1,9,0.1,0.1,0,0.1,0,0,0.0,0,0,0,0,0
Emil Audero,ITA,Goalkeeper,Sampdoria,Serie A,26,1997,25,25,"2,250",25.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommaso Augello,ITA,Defender,Sampdoria,Serie A,28,1994,26,24,"2,074",23.0,2,2.0,4.0,2.0,0.5,0.5,1.8,59.0,82.0,98.0
Ludwig Augustinsson,SWE,Defender,Aston Villa,Premier League,28,1994,3,1,77,0.9,0,1.0,0.1,0.1,0.0,0,0,0,0,0
Ludwig Augustinsson,SWE,Defender,Mallorca,La Liga,28,1994,3,1,113,1.3,0,3.0,6.0,0,0.0,0,0,0.0,0,0
Serge Aurier,CIV,Defender,Nott'ham Forest,Premier League,30,1992,18,16,"1,430",15.9,1,1.0,1.0,2.0,0.7,1.0,1.7,33.0,42.0,0.06
Mathias Autret,FRA,"Midfielder, FORWARD",Auxerre,Ligue 1,32,1991,20,16,"1,259",14.0,2,2.0,4.0,1.0,2.3,1.0,1.5,19.0,3.5,72.0
Ezequiel Ávila,ARG,"Forward,Midfielder",Osasuna,La Liga,29,1994,23,20,"1,465",16.3,7,2.0,9.0,5.0,6.0,3.0,7.0,19.0,3.7,1.6
Cédric Avinel,GLP,Defender,Ajaccio,Ligue 1,36,1986,18,16,"1,462",16.2,1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.06,0.06
Taiwo Awoniyi,NGA,Forward,Nott'ham Forest,Premier League,25,1997,16,9,730,8.1,4,4.0,4.0,4.5,4.5,5.5,7.0,11.0,0,0
Mehmet Aydin,GER,"Defender, Forward",Schalke 04,Bundesliga,21,2002,14,3,482,5.4,0,0.2,0.7,0.9,8.0,19.0,0,0,0,0
André Ayew,GHA,Forward,Nott'ham Forest,Premier League,33,1989,7,1,229,2.5,1,1.0,0.2,0.2,3.0,14.0,0,0,0,0
Jordan Ayew,GHA,"Forward,Midfielder",Crystal Palace,Premier League,31,1991,28,22,"1,877",20.9,1,1.0,2.0,1.0,1.4,1.4,1.7,52.0,43.0,112.0
Kaan Ayhan,TUR,Defender,Sassuolo,Serie A,28,1994,10,5,545,6.1,8,1.0,15.0,0,0.0,0.0,0.0,0,0,0
Luke Ayling,ENG,Defender,Leeds United,Premier League,31,1991,20,13,"1,244",13.8,1,1.0,2.0,1.0,1.9,1.9,1.5,16.0,49.0,52.0
Ayman Azhil,MAR,Midfielder,Leverkusen,Bundesliga,21,2001,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Sardar Azmoun,IRN,"Forward,Midfielder",Leverkusen,Bundesliga,28,1995,14,5,557,6.2,2,1.0,3.0,2.0,2.4,2.4,2.1,5.0,25.0,38.0
César Azpilicueta,ESP,Defender,Chelsea,Premier League,33,1989,19,11,"1,106",12.3,0,3.0,0.3,1.0,17.0,59.0,60.0,0.03,0.11,0.03
Sanoussy Ba,GER,Defender,RB Leipzig,Bundesliga,19,2004,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Iddrisu Baba,GHA,Midfielder,Mallorca,La Liga,27,1996,19,14,"1,141",12.7,0,4.0,0.4,0.2,3.0,35.0,6.0,0.03,0.05,0.03
Srdan Babic,SRB,Defender,Almería,La Liga,26,1996,23,22,"2,025",22.5,1,1.0,1.0,3.0,0.9,0.2,1.1,17.0,4.0,0.04
Loïc Bade,FRA,Defender,Sevilla,La Liga,22,2000,8,7,628,7.0,0,2.0,0.1,0.1,5.0,27.0,2.0,0,0,0
Loïc Bade,FRA,Defender,Rennes,Ligue 1,22,2000,1,1,90,1.0,0,1.0,1.0,1.0,0.0,0.1,0.3,0,0,0
Édgar Badía,ESP,Goalkeeper,Elche,La Liga,31,1992,26,26,"2,340",26.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
