Player name ,Nation,Position,Squad,League,Age,Birth Year,Matches Played,Starts,Minutes Played,Per90,Goal,Assist,Goal n Assist,Goal n Penalty Kick,Expected Goal,NonPenalty Expected Goal,Expected Assisted Goal,Carries,Passes,Passes Received
Musa Barrow,GAM,"FW,MF",Bologna,Serie A,24-134,1998,21,15,"1,198",13.3,2.0,2.0,4.0,2.0,2.0,2.0,2.8,32.0,28.0,79.0
Federico Baschirotto,ITA,DF,Lecce,Serie A,26-189,1996,26,26,"2,340",26.0,3.0,3.0,3.0,5.0,1.5,0.3,1.8,8.0,9.0,0.12
Toma Baic,CRO,MF,Lazio,Serie A,26-123,1996,18,4,422,4.7,0.5,2.0,0.5,0.3,11.0,15.0,20.0, , , 
Gil Bastião Dias,POR,FW,Stuttgart,Bundesliga,26-181,1996,7,6,398,4.4,1.0,1.0,1.0,0.5,0.5,1.2,14.0,16.0, , 
Alessandro Bastoni,ITA,DF,Inter,Serie A,23-349,1999,21,19,"1,627",18.1,1.0,2.0,2.0,2.0,36.0,1.7,2.7,0.06,36.0,0.11
Simone Bastoni,ITA,"MF,DF",Spezia,Serie A,26-143,1996,13,12,946,10.5,2.0,2.0,4.0,2.0,1.1,1.1,0.9,12.0,24.0,55.0
Rodrigo Battaglia,ARG,MF,Mallorca,La Liga,31-259,1991,15,8,686,7.6,0.2,5.0,0.2,0.2,3.0,3.0, , , , 
Maximilian Bauer,GER,DF,Augsburg,Bundesliga,23-047,2000,19,14,"1,233",13.7,1.6,6.0,1.6,0.3,8.0,25.0,2.0,0.12,0.14,0.12
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,32-299,1990,25,25,"2,250",25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timo Baumgartl,GER,DF,Union Berlin,Bundesliga,27-024,1996,7,6,517,5.7,0.2,1.0,0.2,0.1,3.0,22.0,2.0, , , 
Julian Baumgartlinger,AUT,MF,Augsburg,Bundesliga,35-085,1988,12,3,463,5.1,0.3,0.3,0.1,0.4,1.0, , , , , 
Christoph Baumgartner,AUT,"MF,FW",Hoffenheim,Bundesliga,23-239,1999,24,24,"1,910",21.2,5.0,3.0,8.0,5.0,5.5,5.5,3.9,59.0,80.0,113.0
Cyrille Bayala,BFA,MF,Ajaccio,Ligue 1,26-308,1996,27,21,"1,642",18.2,1.0,1.0,2.0,1.0,1.9,1.0,1.9,40.0,3.8,58.0
Brian Bayeye,FRA,DF,Torino,Serie A,22-271,2000,1,1,54,0.6,3.0,3.0,3.0, ,0.0,0.0,0.0, , , 
Noah Joel Sarenren Bazee,NGA,FW,Augsburg,Bundesliga,26-219,1996,1,9,0.1,0.1, ,0.1, , ,0.0, , ,0.0, , 
Gavin Bazunu,IRL,GK,Southampton,Premier League,21-036,2002,28,28,"2,520",28.0,0.0,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bebé,CPV,FW,Rayo Vallecano,La Liga,32-259,1990,4,60,0.7,1.0,0.1,0.1,0.1,0.2,5.0,10.0, , , , 
Ihlas Bebou,TOG,FW,Hoffenheim,Bundesliga,28-339,1994,10,8,636,7.1,3.0,3.0,3.0,2.1,2.1,2.4,8.0,11.0, , 
Rodrigo Becão,BRA,DF,Udinese,Serie A,27-068,1996,21,21,"1,862",20.7,2.0,1.0,3.0,2.0,1.2,1.2,0.6,7.0,73.0,38.0
Mads Bech Sørensen,DEN,"DF,MF",Brentford,Premier League,24-080,1999,4,21,0.2,1.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Julius Beck,DEN,MF,Spezia,Serie A,17-335,2005,1,10,0.1,2.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Sheraldo Becker,SUR,FW,Union Berlin,Bundesliga,28-047,1995,25,24,"1,797",20.0,7.0,4.0,11.0,7.0,3.1,3.1,3.1,62.0,26.0,148.0
Jan Bednarek,POL,DF,Southampton,Premier League,26-350,1996,10,10,822,9.1,0.4,1.0,0.4,0.1,1.0,18.0,2.0,0.04,0.05,0.04
Jan Bednarek,POL,DF,Aston Villa,Premier League,26-350,1996,3,1,100,1.1,1.0,5.0, , ,0.0,0.0,0.0, , , 
Donny van de Beek,NED,MF,Manchester Utd,Premier League,25-344,1997,7,2,167,1.9,0.1,0.1,0.1,0.2,2.0,20.0, , , , 
Asmir Begovic,BIH,GK,Everton,Premier League,35-281,1987,1,1,90,1.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Yanis Begraoui,FRA,"FW,MF",Toulouse,Ligue 1,21-267,2001,3,1,65,0.7,1.0,0.3,0.3,3.0,0.0, , , , , 
Kevin Behrens,GER,FW,Union Berlin,Bundesliga,32-053,1991,25,9,949,10.5,5.0,1.0,6.0,5.0,2.0,2.0,0.7,6.0,40.0,52.0
Alexis Beka Beka,FRA,"MF,DF",Nice,Ligue 1,21-364,2001,10,5,384,4.3,0.1,1.0,0.1,0.1,11.0,18.0, , , , 
Jérémie Bela,ANG,"DF,MF",Clermont Foot,Ligue 1,29-354,1993,16,7,693,7.7,1.0,1.0,2.0,1.0,0.5,0.2,0.8,21.0,48.0, 
Reda Belahyane,FRA,MF,Nice,Ligue 1,18-300,2004,1,12,0.1,0.1,0.1,0.1, , ,1.0, , , , , 
Youcef Belaïli,ALG,"MF,FW",Ajaccio,Ligue 1,31-014,1992,16,14,"1,089",12.1,6.0,3.0,9.0,1.0,6.1,6.0,2.0,31.0,3.5,5.3
Youcef Belaïli,ALG,"FW,MF",Brest,Ligue 1,31-014,1992,6,4,356,4.0,0.6,2.0,2.0,3.0,16.0,0.8,1.4, ,31.0, 
Haris Belkebla,ALG,MF,Brest,Ligue 1,29-059,1994,28,20,"1,813",20.1,1.0,1.0,1.0,3.0,0.4,0.6,1.0,14.0,27.0,0.05
Stefan Bell,GER,DF,Mainz 05,Bundesliga,31-216,1991,21,17,"1,590",17.7,0.7,1.0,1.0,6.0,9.0,0.5,1.1,0.04,7.0,0.06
Armel Bella Kotchap,GER,DF,Southampton,Premier League,21-107,2001,19,19,"1,482",16.5,0.8,1.0,1.0,3.0,6.0,0.5,1.3,0.05,2.0,0.06
Raoul Bellanova,ITA,"DF,MF",Inter,Serie A,22-315,2000,11,167,1.9,0.3,0.3,0.1,0.4,4.0,8.0, , , , , 
Karim Bellarabi,GER,FW,Leverkusen,Bundesliga,32-354,1990,6,1,82,0.9,3.0,3.0,10.0, ,0.0,0.0,0.0, , , 
Jean-Ricner Bellegarde,FRA,MF,Strasbourg,Ligue 1,24-274,1998,20,19,"1,622",18.0,1.0,5.0,6.0,1.0,1.5,1.5,3.7,68.0,111.0,74.0
Héctor Bellerín,ESP,DF,Barcelona,La Liga,28-009,1995,3,1,143,1.6,2.0,0.1,0.1,13.0,0.0, , , , , 
Jude Bellingham,ENG,MF,Dortmund,Bundesliga,19-272,2003,24,23,"2,075",23.1,4.0,4.0,8.0,4.0,4.9,4.9,3.3,70.0,199.0,103.0
Jeanöel Belocian,FRA,DF,Rennes,Ligue 1,18-039,2005,2,1,98,1.1, ,3.0, , ,0.0,0.0,0.0,0.0, , 
Andrea Belotti,ITA,FW,Roma,Serie A,29-098,1993,22,4,614,6.8,2.3,1.0,1.5,0.7,13.0,5.0,50.0, , , 
Fran Beltrán,ESP,MF,Celta Vigo,La Liga,24-053,1999,26,24,"2,099",23.3,0.7,1.0,1.0,4.0,21.0,1.3,1.9,0.03,20.0,0.04
Eliesse Ben Seghir,FRA,"FW,MF",Monaco,Ligue 1,18-040,2005,10,9,681,7.6,3.0,1.0,4.0,3.0,1.6,1.6,0.9,24.0,37.0,64.0
Salim Ben Seghir,FRA,MF,Marseille,Ligue 1,20-032,2003,1,4, , , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Wissam Ben Yedder,FRA,FW,Monaco,Ligue 1,32-228,1990,24,20,"1,468",16.3,17.0,4.0,21.0,13.0,13.5,5.0,2.0,39.0,2.7,12.2
Marco Benassi,ITA,DF,Fiorentina,Serie A,28-201,1994,2,1,93,1.0, ,0.1,0.1,9.0,0.0, , ,0.0, , 
Marco Benassi,ITA,MF,Cremonese,Serie A,28-201,1994,9,7,664,7.4,0.7,1.0,0.7,0.4,9.0,20.0,24.0, , , 
Ismaël Bennacer,ALG,MF,Milan,Serie A,25-117,1997,22,19,"1,625",18.1,1.0,2.0,3.0,1.0,0.5,0.5,3.0,24.0,115.0,35.0
Saïd Benrahma,ALG,"FW,MF",West Ham,Premier League,27-230,1995,24,15,"1,429",15.9,4.0,3.0,7.0,1.0,5.1,3.0,2.8,71.0,5.8,51.0
Ramy Bensebaini,ALG,DF,M'Gladbach,Bundesliga,27-346,1995,21,21,"1,874",20.8,5.0,5.0,4.0,1.0,3.9,5.0,1.0,32.0,1.5,4.6
Nabil Bentaleb,ALG,MF,Angers,Ligue 1,28-124,1994,23,22,"1,905",21.2,3.0,3.0,6.0,2.0,1.8,1.0,4.0,28.0,1.0,1.6
Rodrigo Bentancur,URU,MF,Tottenham,Premier League,25-276,1997,18,17,"1,500",16.7,5.0,2.0,7.0,5.0,2.2,2.2,0.8,26.0,76.0,19.0
Karim Benzema,FRA,FW,Real Madrid,La Liga,35-099,1987,16,16,"1,393",15.5,11.0,3.0,14.0,6.0,13.5,6.0,1.0,46.0,3.8,12.3
Domenico Berardi,ITA,FW,Sassuolo,Serie A,28-239,1994,17,14,"1,174",13.0,6.0,5.0,11.0,2.0,7.2,5.0,5.0,28.0,3.2,6.4
Yuri Berchiche,ESP,DF,Athletic Club,La Liga,33-046,1990,17,15,"1,326",14.7,1.0,1.0,2.0,1.0,0.8,1.0,0.8,32.0,1.6,90.0
Álex Berenguer,ESP,FW,Athletic Club,La Liga,27-267,1995,25,19,"1,633",18.1,3.0,1.0,4.0,3.0,3.4,3.0,6.4,41.0,174.0,0.06
Bartosz Bereszynski,POL,DF,Sampdoria,Serie A,30-259,1992,15,15,"1,198",13.3,0.1,1.0,0.1,0.1,20.0,44.0,40.0,0.01,0.02,0.01
Patrick Berg,NOR,"MF,FW",Lens,Ligue 1,25-124,1997,3,25,0.3,3.0, ,4.0, , ,0.0, , ,0.0, , 
Mitchell van Bergen,NED,"FW,DF",Reims,Ligue 1,23-213,1999,23,5,761,8.5,1.8,1.0,1.0,1.0,42.0,2.5,4.2, ,64.0, 
Mergim Berisha,GER,FW,Augsburg,Bundesliga,24-321,1998,19,18,"1,508",16.8,8.0,4.0,12.0,5.0,7.7,4.0,9.0,18.0,4.5,2.7
Quentin Bernard,FRA,DF,Auxerre,Ligue 1,33-264,1989,7,7,630,7.0,4.0,1.0,1.0,0.6,0.0,27.0,14.0, , , 
Paul Bernardoni,FRA,GK,Angers,Ligue 1,25-344,1997,20,20,"1,800",20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Bernat,ESP,DF,Paris S-G,Ligue 1,30-027,1993,21,12,"1,139",12.7,1.0,3.0,4.0,1.0,0.9,0.9,2.3,18.0,22.0,96.0
Victor Bernth Kristiansen,DEN,DF,Leicester City,Premier League,20-102,2002,4,4,350,3.9,0.1,0.1,0.5,0.6,12.0,8.0, , , , 
Jason Berthomier,FRA,MF,Clermont Foot,Ligue 1,33-081,1990,2,23,0.3,1.0, ,2.0, , ,0.0,0.0,0.0,0.0, , 
Beto,GNB,FW,Udinese,Serie A,25-056,1998,27,19,"1,709",19.0,9.0,1.0,10.0,9.0,8.3,8.3,2.0,20.0,10.0,103.0
Owen Bevan,WAL,DF,Bournemouth,Premier League,19-153,2003,1,9,0.1, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Matteo Bianchetti,ITA,DF,Cremonese,Serie A,30-011,1993,20,18,"1,693",18.8,1.0,1.0,1.0,3.0,0.7,0.3,1.0,6.0,3.0,0.05
Alessandro Bianco,ITA,MF,Fiorentina,Serie A,20-178,2002,3,2,112,1.2,0.1,0.1,0.1,6.0,3.0, , , , , 
Giulian Biancone,FRA,DF,Nott'ham Forest,Premier League,22-362,2000,2,17,0.2,1.0,2.0, , , ,0.0,0.0,0.0, , ,0.0
Ermin Bicakcic,BIH,DF,Hoffenheim,Bundesliga,33-063,1990,6,171,1.9,0.1,0.1,0.1,6.0,2.0, , , , , , 
Pedro Bigas,ESP,DF,Elche,La Liga,32-194,1990,20,17,"1,443",16.0,0.8,3.0,2.0,0.8,14.0,58.0,0.05,0.05,0.05,0.0
Jaka Bijol,SVN,DF,Udinese,Serie A,24-051,1999,22,22,"1,833",20.4,3.0,1.0,4.0,3.0,1.8,1.8,0.9,2.0,43.0,5.0
El Bilal Touré,MLI,FW,Almería,La Liga,21-176,2001,19,14,"1,169",13.0,6.0,2.0,8.0,6.0,6.1,1.3,7.4,18.0,49.0,0.15
El Bilal Touré,MLI,FW,Reims,Ligue 1,21-176,2001,3,1,91,1.0, ,0.1,0.1,1.0, , , ,0.0, , 
