Player name ,Nation,Position,Squad,League,Age,Birth Year,Matches Played,Starts,Minutes Played,Per90,Goal,Assist,Goal n Assist,Goal n Penalty Kick,Expected Goal,NonPenalty Expected Goal,Expected Assisted Goal,Carries,Passes,Passes Received
Mathias Jørgensen,DEN,DF,Brentford,Premier League,32-339,1990,13,8,745,8.3,0.5,1.0,0.5,0.1,1.0,22.0,1.0, , , 
Ozan Kabak,TUR,DF,Hoffenheim,Bundesliga,23-003,2000,22,22,"1,849",20.5,2.0,2.0,4.0,2.0,1.2,2.0,1.2,17.0,2.5,60.0
Issa Kaboré,BFA,DF,Marseille,Ligue 1,21-320,2001,14,5,613,6.8,1.0,1.0,1.0,1.0,0.7,0.5,1.1,23.0,84.0, 
Abdoul Kader Bamba,FRA,"FW,MF",Nantes,Ligue 1,28-307,1994,4,1,78,0.9,0.1,1.0,0.1,0.1,1.0,12.0, , , , 
Pavel Kaderábek,CZE,DF,Hoffenheim,Bundesliga,30-337,1992,21,12,"1,237",13.7,1.0,1.0,1.0,1.0,1.0,1.0,2.0,23.0,87.0,0.07
Tino Kadewere,ZIM,"FW,MF",Mallorca,La Liga,27-082,1996,10,4,413,4.6,1.0,1.0,1.0,1.3,1.3,1.9,1.0,10.0, , 
Kaiky,BRA,DF,Almería,La Liga,19-075,2004,9,6,486,5.4,0.1,5.0,0.1,0.1,6.0,1.0, , , , 
Florian Kainz,AUT,"FW,MF",Köln,Bundesliga,30-155,1992,23,22,"1,666",18.5,5.0,6.0,11.0,3.0,4.4,2.0,4.0,50.0,2.8,5.9
Gaël Kakuta,COD,FW,Lens,Ligue 1,31-280,1991,2,22,0.2,1.0,2.0,1.0, , , , , , , , 
Sasa Kalajdzic,AUT,FW,Wolves,Premier League,25-264,1997,1,1,45,0.5,0.3,0.3,0.3,1.0, , , , , , 
Sasa Kalajdzic,AUT,FW,Stuttgart,Bundesliga,25-264,1997,3,3,233,2.6,0.5,3.0,3.0,1.0, ,0.6,1.1, ,13.0, 
Arnaud Kalimuendo,FRA,FW,Rennes,Ligue 1,21-067,2002,21,18,"1,367",15.2,7.0,2.0,9.0,7.0,5.7,1.8,7.6,30.0,139.0,0.13
Yayah Kallon,SLE,"MF,FW",Hellas Verona,Serie A,21-271,2001,20,7,778,8.6,1.0,1.0,2.0,1.0,1.6,1.6,1.4,32.0,20.0,60.0
Gedeon Kalulu,COD,DF,Lorient,Ligue 1,25-211,1997,22,22,"1,980",22.0,0.5,3.0,3.0,4.0,54.0,1.3,1.8,0.02,60.0,0.14
Pierre Kalulu,FRA,DF,Milan,Serie A,22-296,2000,27,22,"2,120",23.6,1.0,1.0,1.0,4.0,1.4,1.2,2.6,40.0,31.0,0.04
Daichi Kamada,JPN,"MF,FW",Eint Frankfurt,Bundesliga,26-235,1996,23,19,"1,649",18.3,7.0,4.0,11.0,5.0,6.6,2.0,2.0,31.0,2.2,7.2
Waren Kamanzi,NOR,DF,Toulouse,Ligue 1,22-137,2000,4,2,181,2.0,5.0,7.0,3.0, ,0.0,0.0,0.0, , , 
Bingourou Kamara,SEN,GK,Montpellier,Ligue 1,26-158,1996,5,4,408,4.5, ,1.0, , ,0.0,0.0,0.0,0.0, , 
Boubacar Kamara,FRA,MF,Aston Villa,Premier League,23-125,1999,19,18,"1,524",16.9,0.2,1.0,1.0,3.0,14.0,0.8,1.0,0.01,8.0,0.06
Jakub Kaminski,POL,"FW,MF",Wolfsburg,Bundesliga,20-296,2002,22,16,"1,322",14.7,1.0,2.0,3.0,1.0,2.5,1.8,4.1,26.0,108.0,0.14
Marcin Kaminski,POL,DF,Schalke 04,Bundesliga,31-072,1992,2,1,92,1.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Kevin Kampl,SVN,MF,RB Leipzig,Bundesliga,32-170,1990,21,11,899,10.0,0.1,1.0,1.0,6.0,13.0,0.5,0.6,0.01,6.0,0.1
Nordine Kandil,FRA,"MF,FW",Strasbourg,Ligue 1,21-148,2001,6,80,0.9,0.1,0.1,0.1,0.1,4.0,4.0, , , , , 
Harry Kane,ENG,FW,Tottenham,Premier League,29-243,1993,28,28,"2,505",27.8,21.0,2.0,23.0,18.0,15.6,4.0,4.0,46.0,4.5,16.9
Wilfried Kanga,CIV,FW,Hertha BSC,Bundesliga,25-035,1998,19,13,"1,193",13.3,2.0,2.0,2.0,2.0,3.0,1.2,4.3,8.0,64.0,0.15
Lee Kangin,KOR,"MF,FW",Mallorca,La Liga,22-037,2001,25,23,"1,950",21.7,3.0,4.0,7.0,3.0,3.3,3.3,3.2,60.0,67.0,94.0
N'Golo Kanté,FRA,MF,Chelsea,Premier League,31-364,1991,2,2,174,1.9,0.1,0.1,0.3,0.4,7.0,7.0, , , , 
Kenan Karaman,TUR,FW,Schalke 04,Bundesliga,29-023,1994,14,5,499,5.5,1.0,1.0,1.0,2.0,1.7,0.1,1.8,10.0,29.0, 
Yann Karamoh,FRA,"MF,FW",Torino,Serie A,24-263,1998,12,4,426,4.7,3.0,3.0,3.0,1.0,2.6,0.2,2.8,14.0,50.0, 
Atakan Karazor,GER,MF,Stuttgart,Bundesliga,26-166,1996,22,15,"1,345",14.9,0.2,1.0,1.0,9.0,4.0,0.6,0.8,0.01,6.0,0.07
Jon Karrikaburu,ESP,FW,Real Sociedad,La Liga,20-190,2002,6,93,1,1.0,0.3,0.3,0.3,0.6,2.0,2.0, , , , 
Rick Karsdorp,NED,DF,Roma,Serie A,28-045,1995,13,8,711,7.9,0.3,0.3,1.2,1.5,16.0,33.0, , , , 
Denso Kasius,NED,DF,Bologna,Serie A,20-173,2002,7,4,342,3.8,0.1,2.0,2.0,1.0,9.0,0.7,0.8, ,21.0, 
Thomas Kastanaras,GRE,"FW,DF",Stuttgart,Bundesliga,20-078,2003,4,1,72,0.8,0.3,0.3,0.1,0.3,1.0,6.0, , , , 
Grigoris Kastanos,CYP,MF,Salernitana,Serie A,25-057,1998,17,6,583,6.5,1.0,1.0,1.0,3.0,0.9,0.3,1.2,13.0,32.0, 
Silas Katompa,COD,"FW,DF",Stuttgart,Bundesliga,24-173,1998,22,19,"1,561",17.3,4.0,2.0,6.0,3.0,5.2,1.0,3.0,54.0,1.2,5.6
Moise Kean,ITA,FW,Juventus,Serie A,23-028,2000,23,9,812,9.0,5.0,5.0,5.0,4.0,5.5,5.5,1.1,23.0,11.0,59.0
Michael Keane,ENG,DF,Everton,Premier League,30-076,1993,5,4,383,4.3,0.7,1.0,1.0,0.7, ,1.0,7.0, , , 
Neeskens Kebano,COD,FW,Fulham,Premier League,31-018,1992,12,9,713,7.9,0.5,3.0,3.0,0.5,37.0,1.8,21.0, , , 
Kévin Keben Biakolo,CMR,DF,Toulouse,Ligue 1,19-061,2004,10,3,304,3.4,5.0,1.0,0.2,0.2, ,16.0, , , , 
Thilo Kehrer,GER,DF,West Ham,Premier League,26-188,1996,19,19,"1,665",18.5,0.4,4.0,0.4,0.2,13.0,48.0,21.0,0.02,0.04,0.02
Check Keita,FRA,DF,Reims,Ligue 1,19-360,2003,7,6,530,5.9,7.0,1.0,0.1,17.0, , , , , , 
Naby Keïta,GUI,MF,Liverpool,Premier League,28-046,1995,8,3,293,3.3,0.6,1.0,0.6,0.7,5.0,15.0,21.0, , , 
Yannik Keitel,GER,MF,Freiburg,Bundesliga,23-041,2000,18,5,447,5.0,9.0,2.0,2.0,3.0,0.0,0.1,20.0, , , 
Lloyd Kelly,ENG,DF,Bournemouth,Premier League,24-173,1998,12,12,"1,080",12.0,0.1,2.0,2.0,2.0,5.0,0.2,0.4,0.01,1.0,0.17
Marc-Oliver Kempf,GER,DF,Hertha BSC,Bundesliga,28-059,1995,24,24,"2,094",23.3,1.0,4.0,1.0,0.2,8.0,65.0,1.0,0.04,0.05,0.04
Kenedy,BRA,"FW,MF",Valladolid,La Liga,27-048,1996,4,1,83,0.9,1.0,1.0,3.0, , , , , , , 
Jonjoe Kenny,ENG,DF,Hertha BSC,Bundesliga,26-013,1997,22,18,"1,643",18.3,0.3,1.0,1.0,2.0,23.0,1.1,1.3,0.01,45.0,0.05
Franck Kessié,CIV,MF,Barcelona,La Liga,26-099,1996,18,4,602,6.7,1.0,1.0,2.0,1.0,1.2,1.2,0.6,11.0,21.0,23.0
Saîf-Eddine Khaoui,TUN,MF,Clermont Foot,Ligue 1,27-335,1995,25,19,"1,670",18.6,4.0,3.0,7.0,4.0,3.1,3.1,3.6,20.0,64.0,67.0
Wahbi Khazri,TUN,"FW,MF",Montpellier,Ligue 1,32-048,1991,20,13,"1,129",12.5,4.0,1.0,5.0,4.0,3.2,1.0,3.2,27.0,3.9,33.0
Rani Khedira,GER,MF,Union Berlin,Bundesliga,29-060,1994,24,24,"2,072",23.0,1.0,1.0,1.0,7.0,1.2,0.4,1.6,8.0,15.0,0.04
Anthony Khelifa,FRA,DF,Ajaccio,Ligue 1,17-189,2005,1,9,0.1,1.0,1.0, , , ,0.0,0.0,0.0, , ,0.0
Kike,ESP,FW,Osasuna,La Liga,33-123,1989,26,5,765,8.5,2.0,2.0,1.0,1.0,3.3,3.0,2.5,11.0,3.3,14.0
Luca Kilian,GER,DF,Köln,Bundesliga,23-208,1999,13,13,"1,096",12.2,1.0,1.0,1.0,5.0,1.1,1.1,0.1,12.0,48.0,2.0
Max Kilman,ENG,DF,Wolves,Premier League,25-309,1997,28,28,"2,520",28.0,1.0,3.0,1.0,0.1,26.0,101.0,4.0,0.04,0.04,0.04
Joshua Kimmich,GER,MF,Bayern Munich,Bundesliga,28-048,1995,24,23,"2,036",22.6,4.0,4.0,8.0,4.0,1.4,1.0,1.4,28.0,5.6,225.0
Presnel Kimpembe,FRA,DF,Paris S-G,Ligue 1,27-227,1995,11,9,730,8.1,0.7,3.0,0.7,0.2,4.0,40.0,4.0, , , 
Jakub Kiwior,POL,DF,Arsenal,Premier League,23-041,2000,1,5,0.1, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Jakub Kiwior,POL,DF,Spezia,Serie A,23-041,2000,17,17,"1,443",16.0,0.6,3.0,0.6,0.2,13.0,37.0,6.0,0.04,0.05,0.04
Simon Kjær,DEN,DF,Milan,Serie A,34-002,1989,11,8,668,7.4, ,4.0,31.0, ,0.0,0.0,0.0,0.0, , 
Mateusz Klich,POL,"MF,FW",Leeds United,Premier League,32-288,1990,14,280,3.1,2.0,0.2,0.2,0.2,0.4,5.0,21.0, , , , 
Lukas Klostermann,GER,DF,RB Leipzig,Bundesliga,26-298,1996,6,4,379,4.2,0.3,0.3,0.3,14.0,1.0, , , , , 
Justin Kluivert,NED,"FW,MF",Valencia,La Liga,23-327,1999,19,9,958,10.6,4.0,4.0,4.0,2.0,3.5,2.0,5.6,40.0,80.0,0.38
Ansgar Knauff,GER,DF,Eint Frankfurt,Bundesliga,21-077,2002,18,12,"1,031",11.5,1.0,1.0,2.0,1.0,0.7,1.3,2.1,36.0,46.0,0.09
Robin Knoche,GER,DF,Union Berlin,Bundesliga,30-310,1992,24,24,"2,160",24.0,2.0,1.0,3.0,1.0,2.4,2.0,4.0,8.0,0.4,1.2
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,25-112,1997,18,18,"1,620",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin Koch,GER,DF,Leeds United,Premier League,26-254,1996,26,26,"2,292",25.5,0.7,5.0,0.7,0.1,9.0,76.0,5.0,0.03,0.03,0.03
Dominik Kohr,GER,MF,Mainz 05,Bundesliga,29-056,1994,22,19,"1,599",17.8,2.0,2.0,2.0,6.0,1.3,0.6,1.9,7.0,25.0,0.11
Koke,ESP,MF,Atlético Madrid,La Liga,31-079,1992,22,19,"1,605",17.8,0.6,3.0,3.0,4.0,10.0,1.2,1.8,0.04,28.0,0.17
Sead Kolainac,BIH,DF,Marseille,Ligue 1,29-281,1993,23,17,"1,396",15.5,4.0,1.0,5.0,4.0,3.4,3.4,0.9,28.0,63.0,53.0
Luca Koleosho,ITA,"FW,DF",Espanyol,La Liga,18-194,2004,2,25,0.3,7.0,1.0, , , ,0.0,0.0,0.0, , ,0.0
Randal Kolo Muani,FRA,FW,Eint Frankfurt,Bundesliga,24-113,1998,24,23,"1,959",21.8,11.0,10.0,21.0,10.0,8.9,1.0,4.0,75.0,8.1,4.3
Timothée Kolodziejczak,FRA,DF,Schalke 04,Bundesliga,31-178,1991,1,25,0.3, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Cheick Konaté,CIV,DF,Clermont Foot,Ligue 1,19-025,2004,5,5,450,5.0,8.0,1.0,0.2,0.3, ,2.0, , , , 
Ibrahima Konaté,FRA,DF,Liverpool,Premier League,23-307,1999,8,7,652,7.2,0.5,1.0,0.5,0.5,6.0,3.0, , , , 
Geoffrey Kondogbia,CTA,MF,Atlético Madrid,La Liga,30-041,1993,16,10,962,10.7,0.7,2.0,2.0,4.0,6.0,0.9,1.6,0.07,5.0,0.19
Ibrahima Koné,MLI,FW,Lorient,Ligue 1,23-285,1999,27,8,970,10.8,3.0,1.0,4.0,2.0,2.4,1.0,2.0,8.0,0.8,2.4
Kouadio Koné,FRA,MF,M'Gladbach,Bundesliga,21-315,2001,24,24,"2,099",23.3,1.0,1.0,2.0,1.0,1.0,1.0,1.2,38.0,136.0,41.0
Youssouf Koné,MLI,DF,Ajaccio,Ligue 1,27-266,1995,7,7,520,5.8,9.0,3.0,13.0,10.0, , , , , , 
Ezri Konsa,ENG,DF,Aston Villa,Premier League,25-156,1997,27,26,"2,332",25.9,0.8,4.0,0.8,1.2,5.0,33.0,10.0,0.03,0.08,0.03
Teun Koopmeiners,NED,MF,Atalanta,Serie A,25-028,1998,24,23,"2,048",22.8,6.0,3.0,9.0,4.0,5.8,4.0,5.0,41.0,3.0,5.5
Odilon Kossonou,CIV,DF,Leverkusen,Bundesliga,22-083,2001,19,12,"1,073",11.9,0.1,1.0,1.0,1.0,17.0,0.1,0.2,0.01,12.0,0.08
Filip Kostic,SRB,"DF,FW",Juventus,Serie A,30-147,1992,27,25,"2,000",22.2,3.0,8.0,11.0,3.0,2.2,2.2,6.2,77.0,61.0,166.0
Filip Kostic,SRB,"DF,MF",Eint Frankfurt,Bundesliga,30-147,1992,1,1,74,0.8,3.0,1.0,0.1,0.1, ,3.0, , , , 
Christian Kouamé,CIV,FW,Fiorentina,Serie A,25-112,1997,21,18,"1,506",16.7,2.0,2.0,4.0,2.0,4.0,4.0,2.5,44.0,43.0,178.0
Rominigue Kouamé,MLI,MF,Troyes,Ligue 1,26-101,1996,23,23,"1,934",21.5,1.0,1.0,2.0,1.0,0.9,0.9,1.6,49.0,130.0,25.0
Tomá Koubek,CZE,GK,Augsburg,Bundesliga,30-214,1992,4,4,360,4.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Kalidou Koulibaly,SEN,DF,Chelsea,Premier League,31-281,1991,19,17,"1,520",16.9,2.0,1.0,3.0,2.0,0.8,1.0,0.8,10.0,1.2,68.0
Jules Koundé,FRA,DF,Barcelona,La Liga,24-136,1998,18,17,"1,481",16.5,0.6,2.0,2.0,1.0,31.0,1.3,1.9,0.04,27.0,0.12
Boubakar Kouyaté,MLI,DF,Montpellier,Ligue 1,25-347,1997,8,8,700,7.8,0.3,1.0,0.3,0.1,3.0,20.0,1.0, , , 
Cheikhou Kouyaté,SEN,"MF,DF",Nott'ham Forest,Premier League,33-097,1989,12,9,704,7.8,1.0,1.0,1.0,2.0,0.3,0.6,1.0,6.0,8.0, 
Mateo Kovacic,CRO,MF,Chelsea,Premier League,28-326,1994,19,11,"1,169",13.0,1.0,1.0,2.0,1.0,0.7,0.7,1.4,27.0,104.0,13.0
Viktor Kovalenko,UKR,MF,Spezia,Serie A,27-042,1996,13,5,431,4.8,0.5,1.0,0.5,0.3,1.0,17.0,19.0, , , 
Soichiro Kozuki,JPN,"FW,MF",Schalke 04,Bundesliga,22-096,2000,5,5,379,4.2,1.0,1.0,1.0,1.0,1.1,0.3,1.4,15.0,37.0, 
Emil Krafth,SWE,DF,Newcastle Utd,Premier League,28-238,1994,1,1, , , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Alex Král,CZE,MF,Schalke 04,Bundesliga,24-313,1998,20,17,"1,547",17.2,1.1,3.0,1.1,0.3,28.0,54.0,38.0,0.06,0.08,0.06
Andrej Kramaric,CRO,"MF,FW",Hoffenheim,Bundesliga,31-282,1991,23,17,"1,616",18.0,7.0,3.0,10.0,5.0,8.9,4.0,1.0,27.0,1.8,7.5
Christoph Kramer,GER,MF,M'Gladbach,Bundesliga,32-037,1991,24,24,"1,955",21.7,0.3,3.0,0.3,1.7,24.0,72.0,59.0,0.02,0.09,0.02
Tom Krauß,GER,MF,Schalke 04,Bundesliga,21-279,2001,25,25,"2,044",22.7,1.0,1.0,1.0,4.0,1.7,0.5,2.2,28.0,33.0,0.04
Julian Kristoffersen,NOR,FW,Salernitana,Serie A,25-322,1997,1,18,0.2,2.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Raimonds Krollis,LVA,FW,Spezia,Serie A,21-151,2001,1,15,0.2,0.1,0.1,0.1,1.0,1.0,1.0, , , , , 
Toni Kroos,GER,MF,Real Madrid,La Liga,33-083,1990,21,18,"1,501",16.7,2.0,3.0,5.0,2.0,1.0,1.0,1.0,36.0,3.7,220.0
Rade Krunic,BIH,"MF,FW",Milan,Serie A,29-172,1993,15,11,"1,010",11.2,0.7,1.0,1.0,5.0,17.0,0.9,1.6,0.06,16.0,0.09
Max Kruse,GER,"MF,FW",Wolfsburg,Bundesliga,35-009,1988,5,2,272,3.0,0.7,0.7,0.1,0.9,4.0,30.0, , , , 
Lukas Kübler,GER,DF,Freiburg,Bundesliga,30-210,1992,14,14,"1,189",13.2,2.0,2.0,2.0,0.8,0.8,1.1,34.0,8.0,0.15,0.15
Takefusa Kubo,JPN,"FW,MF",Real Sociedad,La Liga,21-297,2001,23,20,"1,670",18.6,5.0,3.0,8.0,5.0,3.3,3.3,3.8,71.0,53.0,169.0
Dejan Kulusevski,SWE,"MF,FW",Tottenham,Premier League,22-337,2000,20,16,"1,463",16.3,2.0,6.0,8.0,2.0,1.8,1.8,3.9,68.0,47.0,146.0
Sael Kumbedi,FRA,DF,Lyon,Ligue 1,18-002,2005,11,7,709,7.9,0.2,1.0,1.0,4.0,6.0,0.5,0.7, ,48.0, 
Marash Kumbulla,ALB,DF,Roma,Serie A,23-048,2000,6,4,245,2.7,2.0,1.0,1.0,0.1, ,8.0,1.0, , , 
Pierre Kunde,CMR,MF,Bochum,Bundesliga,27-245,1995,8,3,320,3.6,1.0,1.0,1.0,0.3,0.3,0.5,14.0,6.0, , 
Alou Kuol,AUS,FW,Stuttgart,Bundesliga,22-182,2000,1,5,0.1, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Layvin Kurzawa,FRA,DF,Fulham,Premier League,30-205,1992,3,2,135,1.5,1.0,1.0,2.0,2.0,0.0,0.0,0.0, , , 
Khvicha Kvaratskhelia,GEO,FW,Napoli,Serie A,22-044,2001,23,22,"1,725",19.2,12.0,10.0,22.0,10.0,7.3,2.0,5.7,91.0,12.4,54.0
Grejohn Kyei,FRA,FW,Clermont Foot,Ligue 1,27-228,1995,27,16,"1,400",15.6,3.0,2.0,5.0,3.0,5.0,2.0,4.2,17.0,5.1,16.0
Daniel Kyereh,GHA,"MF,FW",Freiburg,Bundesliga,27-020,1996,12,7,559,6.2,2.0,2.0,2.0,2.0,2.2,0.3,2.5,5.0,24.0, 
Giorgos Kyriakopoulos,GRE,"FW,DF",Bologna,Serie A,27-051,1996,7,3,278,3.1,0.1,2.0,2.0,0.1,6.0,0.8,13.0, , , 
Giorgos Kyriakopoulos,GRE,"FW,DF",Sassuolo,Serie A,27-051,1996,12,9,766,8.5,1.0,1.0,2.0,1.0,1.1,1.1,1.4,17.0,32.0,46.0
César de la Hoz,ESP,MF,Almería,La Liga,30-363,1992,15,13,"1,183",13.1,1.0,1.0,1.0,5.0,0.4,0.9,1.3,3.0,2.0,0.08
Luca de la Torre,USA,MF,Celta Vigo,La Liga,24-309,1998,17,9,769,8.5,0.7,2.0,2.0,2.0,27.0,1.2,1.8, ,36.0, 
Rémy Labeau Lascary,GLP,"FW,MF",Lens,Ligue 1,20-025,2003,9,115,1.3,0.4,0.4,0.4,3.0,15.0,3.0, , , , , 
Gaëtan Laborde,FRA,FW,Nice,Ligue 1,28-329,1994,23,20,"1,739",19.3,8.0,1.0,9.0,8.0,6.5,5.7,3.2,38.0,37.0,125.0
Gaëtan Laborde,FRA,FW,Rennes,Ligue 1,28-329,1994,4,3,249,2.8,2.0,2.0,2.0,1.7,1.7,1.9,5.0,8.0, , 
Alexandre Lacazette,FRA,FW,Lyon,Ligue 1,31-304,1991,25,24,"2,051",22.8,17.0,4.0,21.0,13.0,14.4,4.0,2.0,26.0,4.3,15.5
Qazim Laçi,ALB,MF,Ajaccio,Ligue 1,27-068,1996,9,2,212,2.4,0.2,0.2,0.2,0.4, ,4.0, , , , 
Maxence Lacroix,FRA,DF,Wolfsburg,Bundesliga,22-356,2000,19,14,"1,301",14.5,1.0,1.0,1.0,0.4,0.4,0.5,51.0,5.0,0.07,0.07
Alban Lafont,FRA,GK,Nantes,Ligue 1,24-064,1999,27,27,"2,429",27.0,1.0,2.0,1.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0
Aïssa Laïdouni,TUN,MF,Union Berlin,Bundesliga,26-105,1996,6,5,418,4.6,0.2,1.0,0.2,0.3,7.0,20.0,13.0, , , 
Konrad Laimer,AUT,MF,RB Leipzig,Bundesliga,25-305,1997,13,11,947,10.5,1.0,1.0,1.0,6.0,1.1,1.5,2.6,33.0,37.0,0.1
Stefan Lainer,AUT,DF,M'Gladbach,Bundesliga,30-213,1992,10,4,341,3.8,0.1,1.0,0.1,0.2,11.0,17.0,9.0, , , 
Kenny Lala,FRA,DF,Brest,Ligue 1,31-176,1991,8,7,607,6.7,0.1,1.0,0.1,1.0,11.0,19.0,12.0, , , 
Adam Lallana,ENG,"MF,FW",Brighton,Premier League,34-322,1988,16,12,722,8.0,2.0,1.0,3.0,2.0,0.9,1.0,1.9,10.0,43.0, 
Vassilis Lambropoulos,GRE,DF,Bochum,Bundesliga,32-362,1990,12,7,616,6.8,0.4,2.0,0.4,0.2,1.0,26.0, , , , 
Érik Lamela,ARG,"FW,MF",Sevilla,La Liga,31-024,1992,21,13,"1,300",14.4,4.0,4.0,4.0,8.0,3.5,3.5,1.1,51.0,53.0,119.0
Mohamed Lamine Bayo,GUI,"FW,MF",Lille,Ligue 1,24-297,1998,19,5,489,5.4,4.0,4.0,4.0,3.2,3.2,4.6,4.0,8.0, , 
Sam Lammers,NED,FW,Sampdoria,Serie A,25-332,1997,9,9,700,7.8,1.1,1.0,1.0,1.0,13.0,1.0,2.0, ,42.0, 
Sam Lammers,NED,FW,Empoli,Serie A,25-332,1997,14,10,883,9.8,1.0,1.0,2.0,1.0,2.3,0.7,2.9,9.0,67.0,0.1
Tariq Lamptey,GHA,DF,Brighton,Premier League,22-179,2000,20,3,453,5.0,0.2,1.0,0.2,0.2,28.0,26.0,58.0, , , 
Manuel Lanzini,ARG,"MF,FW",West Ham,Premier League,30-041,1993,7,1,150,1.7,0.1,0.1,0.1,14.0,2.0, , , , , 
Aymeric Laporte,ESP,DF,Manchester City,Premier League,28-305,1994,7,6,556,6.2,0.4,0.4,0.2,0.6,17.0,8.0, , , , 
Julien Laporte,FRA,DF,Lorient,Ligue 1,29-144,1993,18,18,"1,540",17.1,0.3,1.0,0.3,0.3,4.0,0.02,0.02,0.02,0.0,0.0
Cyle Larin,CAN,FW,Valladolid,La Liga,27-345,1995,8,5,513,5.7,5.0,5.0,5.0,3.0,3.0,0.4,3.4,9.0,28.0, 
Juan Larios,ESP,DF,Southampton,Premier League,19-075,2004,5,2,152,1.7,10.0,4.0,1.0, ,0.0,0.0,0.0, , , 
Yasser Larouci,ALG,"DF,FW",Troyes,Ligue 1,22-086,2001,21,14,"1,187",13.2,1.0,1.0,1.0,1.0,0.4,1.3,1.6,53.0,83.0,0.08
Jordan Larsson,SWE,"FW,MF",Schalke 04,Bundesliga,25-281,1997,11,5,463,5.1,1.2,1.2,0.4,1.7,5.0,29.0, , , , 
Kevin Lasagna,ITA,"FW,MF",Hellas Verona,Serie A,30-230,1992,22,13,"1,281",14.2,1.0,2.0,3.0,1.0,5.6,5.6,1.5,30.0,17.0,93.0
Jamaal Lascelles,ENG,DF,Newcastle Utd,Premier League,29-137,1993,5,2,197,2.2,0.1,4.0,0.1,0.1, , , , , , 
Latasa,ESP,"FW,DF",Getafe,La Liga,22-005,2001,11,123,1.4,0.6,0.6,0.6,6.0,10.0, , , , , , 
Toni Lato,ESP,"DF,MF",Valencia,La Liga,25-127,1997,16,6,654,7.3,1.0,1.0,1.0,1.0,0.5,0.8,1.3,12.0,36.0, 
Danny Latza,GER,MF,Schalke 04,Bundesliga,33-111,1989,13,4,460,5.1,0.6,1.0,0.6,0.6,5.0,8.0, , , , 
Armand Lauriente,FRA,FW,Sassuolo,Serie A,24-114,1998,20,20,"1,639",18.2,7.0,6.0,13.0,6.0,4.2,1.0,7.0,103.0,3.4,5.9
Armand Lauriente,FRA,FW,Lorient,Ligue 1,24-114,1998,3,3,266,3.0,1.0,1.0,1.0,1.8,1.8,2.9,14.0,14.0, , 
Roméo Lavia,BEL,MF,Southampton,Premier League,19-081,2004,19,16,"1,372",15.2,1.0,1.0,1.0,6.0,0.3,0.4,0.6,11.0,10.0,0.07
Lázaro,BRA,"MF,FW",Almería,La Liga,21-016,2002,11,2,293,3.3,1.0,1.0,1.0,0.7,0.7,0.9,12.0,12.0, , 
Valentino Lazaro,AUT,DF,Torino,Serie A,27-004,1996,15,13,"1,065",11.8,0.4,2.0,2.0,4.0,38.0,2.3,2.7,0.03,70.0,0.17
Marko Lazetic,SRB,FW,Milan,Serie A,19-065,2004,1,9,0.1,1.0,0.1,0.1,0.1,3.0, , , , , , 
Darko Lazovic,SRB,"MF,DF",Hellas Verona,Serie A,32-194,1990,23,22,"1,795",19.9,3.0,4.0,7.0,3.0,3.1,4.7,7.8,59.0,139.0,0.2
Manuel Lazzari,ITA,DF,Lazio,Serie A,29-119,1993,20,17,"1,391",15.5,0.1,5.0,0.1,0.5,61.0,44.0,47.0,0.01,0.04,0.01
Théo Le Bris,FRA,"MF,DF",Lorient,Ligue 1,20-178,2002,21,13,"1,175",13.1,2.0,1.0,3.0,2.0,1.1,1.0,2.1,48.0,90.0,0.08
Julien Le Cardinal,FRA,DF,Lens,Ligue 1,25-237,1997,5,2,145,1.6,0.6,0.6,0.6,1.2,4.0,13.0, , , , 
Jérémy Le Douaron,FRA,"FW,MF",Brest,Ligue 1,24-341,1998,22,14,"1,294",14.4,6.0,2.0,8.0,6.0,6.2,6.2,1.0,22.0,14.0,76.0
Enzo Le Fée,FRA,MF,Lorient,Ligue 1,23-053,2000,28,28,"2,418",26.9,4.0,6.0,10.0,4.0,3.1,3.1,5.9,72.0,182.0,64.0
Vincent Le Goff,FRA,DF,Lorient,Ligue 1,33-164,1989,27,27,"2,430",27.0,1.1,1.0,1.1,0.6,55.0,133.0,71.0,0.04,0.06,0.04
Maxime Le Marchand,FRA,DF,Strasbourg,Ligue 1,33-168,1989,21,18,"1,565",17.4,0.4,6.0,1.0,0.4,9.0,0.7,81.0,0.02,0.02,0.04
Robin Le Normand,FRA,DF,Real Sociedad,La Liga,26-137,1996,23,21,"1,896",21.1,0.6,4.0,0.6,0.1,21.0,85.0,2.0,0.03,0.03,0.03
Rafael Leão,POR,"FW,MF",Milan,Serie A,23-291,1999,25,21,"1,840",20.4,8.0,6.0,14.0,8.0,7.5,1.0,7.5,96.0,12.7,84.0
